"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-10-25 00:50:05"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.90749072","40.67251149","Brooklyn","11212","275","MOTHER GASTON BOULEVARD","0","494909","316","05/31/2022","37","5469384","855837","Completed","2016-04-05 00:00:00"
" -73.87377606","40.82569795","Bronx","10472","1025","MORRISON AVENUE","0","707163","209","05/31/2022","18","0","14182854","Not Completed",""
" -73.76037280","40.67598383","Queens","11434","135-019","CHENEY STREET","0","620909","412","05/31/2022","27","0","981038","Not Completed",""
" -73.88853105","40.70193296","Queens","11385","71-29","66 STREET","0","1309083","405","05/31/2022","30","0","9546644","Not Completed",""
" -73.94604825","40.82447217","Manhattan","10031","420","WEST 145 STREET","0","721824","109","05/31/2022","7","0","14104994","Not Completed",""
" -73.87384063","40.82597609","Bronx","10472","1025","MORRISON AVENUE","0","707160","209","05/31/2022","18","0","14182857","Not Completed",""
" -73.86082637","40.57393379","Queens","11694","143-004","NEWPORT AVENUE","0","421268","414","05/31/2022","32","0","778626","Not Completed",""
" -73.95436421","40.80039125","Manhattan","10026","1835","ADAM C POWELL BOULEVARD","0","710085","110","05/31/2022","9","0","9368686","Not Completed",""
" -73.93429096","40.79562708","Manhattan","10029","421","EAST 116 STREET","0","758420","111","05/31/2022","8","0","7417021","Not Completed",""
" -73.76765147","40.69513665","Queens","11412","114-071","DUNKIRK STREET","0","430134","412","05/31/2022","27","0","792656","Not Completed",""
" -73.95857149","40.76548400","Manhattan","10065","351","EAST  68 STREET","0","1209637","108","05/31/2022","5","0","16051732","Not Completed",""
" -74.06499703","40.59190152","Staten Island","10305","205","FR CAPODANNO BOULEVARD","0","398471","502","05/31/2022","50","0","753355","Not Completed",""
" -74.16922540","40.55847932","Staten Island","10312","3295","RICHMOND AVENUE","0","494116","503","05/31/2022","51","0","13893721","Not Completed",""
" -73.90426508","40.85853373","Bronx","10453","7","WEST 183 STREET","0","1556736","207","05/31/2022","14","0","13411845","Not Completed",""
" -73.88645332","40.85767280","Bronx","10458","575","EAST 189 STREET","0","1253892","206","05/31/2022","15","0","13755168","Not Completed",""
" -73.89801892","40.70768569","Queens","11385","60-75","WOODBINE STREET","0","1218263","405","05/31/2022","30","0","14281460","Not Completed",""
" -73.97891771","40.74940908","Manhattan","10016","67","PARK AVENUE","0","1218445","106","05/31/2022","4","0","5861153","Not Completed",""
" -73.86189603","40.56882195","Queens","11694","159","BEACH 147 STREET","0","1221299","414","05/31/2022","32","0","18634345","Not Completed",""
" -74.03758862","40.63225904","Brooklyn","11209","7551","SHORE ROAD","0","630109","310","05/31/2022","43","4606162","4890595","Completed","2021-05-20 00:00:00"
" -73.93833482","40.83505138","Manhattan","10032","425","WEST 162 STREET","0","719884","112","05/31/2022","10","0","9260710","Not Completed",""
" -73.84328086","40.84160219","Bronx","10461","2601","PONTON AVENUE","0","1572554","210","05/31/2022","13","0","14031843","Not Completed",""
" -73.95299585","40.80082869","Manhattan","10026","134","WEST 113 STREET","0","710152","110","05/31/2022","9","0","9138861","Not Completed",""
" -73.94268839","40.82862669","Manhattan","10031","488","CONVENT AVENUE","0","722683","109","05/31/2022","7","0","14247416","Not Completed",""
" -73.90417202","40.87997877","Bronx","10463","5625","BROADWAY","0","727997","208","05/31/2022","11","0","13443357","Not Completed",""
" -73.91479903","40.74247000","Queens","11377","50-02","QUEENS BOULEVARD","0","1423493","402","05/31/2022","26","0","9406011","Not Completed",""
" -73.91984167","40.77787184","Queens","11105","23-33","21 STREET","0","861235","401","05/31/2022","22","0","9466987","Not Completed",""
" -74.10747296","40.63002876","Staten Island","10310","10","LAWRENCE AVENUE","0","1000518","501","05/31/2022","49","0","10507170","Not Completed",""
" -74.09186055","40.60180576","Staten Island","10304","65","ROME AVENUE","0","1353883","502","05/31/2022","50","0","1644710","Not Completed",""
" -73.94876033","40.78871268","Manhattan","10029","1569","LEXINGTON AVENUE","0","1164901","111","05/31/2022","8","5784460","8652274","Not Completed",""
" -74.00872201","40.62741477","Brooklyn","11219","1049","OVINGTON AVENUE","0","1481099","310","05/31/2022","43","0","13678845","Not Completed",""
" -73.83221770","40.70313516","Queens","11415","84-47","LEFFERTS BOULEVARD","0","1562108","409","05/31/2022","29","0","18793925","Not Completed",""
" -73.93726507","40.79855591","Manhattan","10035","249","EAST 118 STREET","0","1098101","111","05/31/2022","8","0","9368698","Not Completed",""
" -73.93397803","40.79774648","Manhattan","10035","2314","1 AVENUE","0","1332682","111","05/31/2022","8","0","8686017","Not Completed",""
" -73.91361097","40.61866641","Brooklyn","11234","6501","AVENUE T","0","1529932","318","05/31/2022","46","0","18786322","Not Completed",""
" -73.94833103","40.81668604","Manhattan","0","OPP 486","ST NICHOLAS AVENUE","0","1597452","109","05/31/2022","0","0","16789520","Not Completed",""
" -73.88955568","40.85055378","Bronx","10457","2146","HUGHES AVENUE","0","1566132","206","05/31/2022","15","0","8389156","Not Completed",""
" -73.99280231","40.68770543","Brooklyn","11201","9","BERGEN STREET","0","1214379","302","05/31/2022","33","0","18690875","Not Completed",""
" -73.87739908","40.82611123","Bronx","10472","1542","WATSON AVENUE","0","1571183","209","05/31/2022","18","0","14185979","Not Completed",""
" -73.94909120","40.81505092","Manhattan","10027","438","ST NICHOLAS AVENUE","0","1597466","110","05/31/2022","9","0","16789493","Not Completed",""
" -73.96441171","40.80493028","Manhattan","10025","523","WEST 112 STREET","0","1568551","109","05/31/2022","7","0","13809151","Not Completed",""
" -74.06794431","40.59828552","Staten Island","10305","28","MC FARLAND AVENUE","0","1322291","502","05/31/2022","50","0","1606723","Not Completed",""
" -74.09483446","40.59156507","Staten Island","10304","150","DELAWARE AVENUE","0","1323891","502","05/31/2022","50","0","1613511","Not Completed",""
" -73.96379055","40.80384319","Manhattan","10025","503","WEST 111 STREET","0","1575580","109","05/31/2022","7","0","17990381","Not Completed",""
